"","labels","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution"
"538","E10bZGP",30,39,34,29,1
"539","E10bZIH",0,0,0,0,1
"540","E10bZJS",0,0,0,0,1
"541","E10bZNH",0,0,0,0,1
"542","E10bZQX",23,18,15,12,1
"543","E10bZXG",0,0,0,0,1
"544","E10bZYB",0,0,0,0,1
"545","E11aKRW",50,42,44,52,1
"546","E11aCPT",18,15,25,13,1
"547","E11aBHT",0,1,0,0,1
"548","E11aRWZ",5,4,2,4,1
"549","E11aEGU",7,11,11,10,1
"550","E11aKQX",1,0,1,1,1
"551","E11aMOR",10,6,12,12,1
"552","E11aJSX",5,2,6,6,1
"553","E11aEWZ",0,0,0,0,1
"554","E11aCDE",5,2,11,7,1
"555","E11aBRT",0,0,3,3,1
"556","E11aJOR",12,18,16,20,1
"557","E11aDJZ",32,21,33,21,1
"558","E11aBPQ",112,140,117,163,1
"559","E11aLMP",0,0,0,0,1
"560","E11aQSZ",0,0,0,0,1
"561","E11aDNW",0,0,0,0,1
"562","E11aAHT",0,0,0,0,1
"563","E11aNPS",32,36,28,37,1
"564","E11aBIZ",16,15,14,25,1
"565","E11aBGZ",1,2,3,2,1
"566","E11aFOW",3,2,7,8,1
"567","E11aQRZ",0,0,0,0,1
"568","E11aGJU",3,2,5,1,1
"569","E11aIJT",0,0,0,0,1
"570","E11aBFS",0,0,0,0,1
"571","E11aAPV",0,0,0,0,1
"572","E11aFIT",0,0,0,0,1
"573","E11aGIW",1,2,0,2,1
"574","E11aEIU",2,2,2,1,1
"575","E11aMNT",11,9,15,12,1
"576","E11aDHM",39,25,35,26,1
"577","E11aRVX",0,0,0,0,1
"578","E11aDGL",0,0,0,0,1
"579","E11aBDP",32,22,27,34,1
"580","E11aNOR",47,43,45,50,1
"581","E11aEHT",0,0,0,0,1
"582","E11aABO",41,34,43,36,1
"583","E11aJMQ",20,13,15,23,1
"584","E11aKQR",0,0,0,0,1
"585","E11aGIN",0,0,0,0,1
"586","E11aADR",0,0,0,0,1
"587","E11aQRT",28,12,27,20,1
"588","E11aJLU",44,34,46,53,1
"589","E11aKRW",0,0,0,0,1
"590","E11aCMU",0,0,0,0,1
"591","E11aNRS",0,0,0,0,1
"592","E11aHMV",0,0,0,0,1
"593","E11aTVX",0,0,0,0,1
"594","E11aHOU",11,19,8,11,1
"595","E11aLWX",0,0,0,0,1
"596","E11aDFJ",34,24,23,32,1
"597","E11aBEG",0,0,0,0,1
"598","E11aOTW",2,0,7,0,1
"599","E11aCUV",33,81,57,64,1
"600","E11aIOW",15,11,8,14,1
"601","E11aCLO",0,0,0,0,1
"602","E11aASW",2,1,0,3,1
"603","E11aCFM",1,0,1,0,1
"604","E11aKQS",0,0,0,0,1
"605","E11aHJU",7,9,19,8,1
"606","E11aDOX",0,0,0,0,1
"607","E11aPSW",0,0,0,0,1
"608","E11aCLS",0,0,0,0,1
"609","E11aAHU",0,0,0,0,1
"610","E11aORY",0,0,0,0,1
"611","E11aLUV",22,26,28,17,1
"612","E11aAHX",0,0,0,0,1
"613","E11aSVZ",26,9,23,22,1
"614","E11aKYZ",9,9,10,11,1
"615","E11aJOT",9,12,18,20,1
"616","E11aHPY",7,8,7,11,1
"617","E11aERS",0,0,0,0,1
"618","E11aBKP",0,0,0,0,1
"619","E11aVXY",0,0,0,0,1
"620","E11aHKY",47,43,43,31,1
"621","E11aHIM",27,22,38,36,1
"622","E11aOWZ",0,1,4,1,1
"623","E11aIKT",0,0,0,0,1
"624","E11aAHQ",0,0,0,0,1
"625","E11aABU",0,0,0,0,1
"626","E11aSVX",0,0,0,0,1
"627","E11aAJL",1,3,1,2,1
"628","E11aJRZ",13,7,14,9,1
"629","E11aJNO",0,0,0,0,1
"630","E11aQRV",3,2,5,5,1
"631","E11aLTW",0,0,0,0,1
"632","E11aBMS",0,0,0,0,1
"633","E11aBRY",0,0,0,0,1
"634","E11aFGU",2,3,2,6,1
"635","E11aDWX",15,20,13,25,1
"636","E11aKRX",0,0,0,0,1
"637","E11aHLW",0,0,0,0,1
"638","E11aACM",1,2,1,1,1
"639","E11aCJK",0,0,0,0,1
"640","E11aOTV",0,0,0,0,1
"641","E11aFPR",0,0,0,0,1
"642","E11aSTU",0,0,0,0,1
"643","E11aLPX",0,0,0,0,1
"644","E11aAKV",0,0,0,0,1
"645","E11aALR",0,0,0,0,1
"646","E11aDOS",0,0,0,0,1
"647","E11aPUY",0,0,0,0,1
"648","E11aGPU",0,0,0,0,1
"649","E11aDFI",0,0,0,0,1
"650","E11aIJQ",0,0,0,0,1
"651","E11aDMX",0,0,0,0,1
"652","E11aAOV",0,0,0,0,1
"653","E11aCEP",0,0,0,0,1
"654","E11aJUZ",3,1,2,4,1
"655","E11aDRS",2,2,4,1,1
"656","E11aCLR",0,0,0,0,1
"657","E11aDFT",0,0,0,0,1
"658","E11aJNW",0,0,0,0,1
"659","E11aBDG",0,0,0,0,1
"660","E11aRUY",0,0,0,0,1
"661","E11aBCJ",0,0,0,0,1
"662","E11aDHU",0,0,0,0,1
"663","E11aNST",0,0,0,0,1
"664","E11aAEO",0,0,0,0,1
"665","E11aEHQ",0,0,0,0,1
"666","E11aAPU",0,0,0,0,1
"667","E11aBDI",0,0,0,0,1
