"","EH_ID","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection"
"84","LM0349","P4aHEA","P4",NA,50.5,NA,NA,8,"primary"
"85","LM0360","P4aHGF","P4",NA,42.1,NA,NA,11,"primary"
"86","LM0354","P4aHIS","P4",41.55,45,92.3333333333333,1.72,4,"primary"
"87","LM0349","P4aHPG","P4",40.02,50.5,79.2475247524753,1.07,6,"primary"
"88","LM0356","P4aHQE","P4",39,40.7,95.8230958230958,1.77,5,"primary"
"89","LM0367","P4aHQG","P4",46.51,49.6,93.7701612903226,0.98,8,"primary"
"90","LM0353","P4aHRY","P4",41.23,45.1,91.4190687361419,2.03,11,"primary"
"91","LM0349","P4aHTT","P4",NA,50.5,NA,NA,9,"primary"
"92","LM0352","P4aHUH","P4",40.05,40.6,98.6453201970443,1.63,1,"primary"
"93","LM0362","P4aIAF","P4",47.67,51.1,93.2876712328767,0.77,3,"primary"
"94","LM0355","P4aIGA","P4",43.34,43.9,98.7243735763098,1.57,1,"primary"
"95","LM0364","P4aIJK","P4",43.82,41.6,105.336538461538,2.83,9,"primary"
"96","LM0367","P4aIJQ","P4",46.57,49.6,93.8911290322581,1.31,10,"primary"
"97","LM0361","P4aIJW","P4",40.68,46.1,88.2429501084599,2.11,11,"primary"
"98","LM0360","P4aILN","P4",42.27,42.1,100.403800475059,1.35,3,"primary"
"99","LM0360","P4aIQD","P4",NA,42.1,NA,NA,8,"primary"
"100","LM0348","P4aIUD","P4",37.6,44.4,84.6846846846847,0.47,5,"primary"
"101","LM0363","P4aIUQ","P4",46.7,46.7,100,NA,0,"primary"
"102","LM0358","P4aIVI","P4",39.7,49.5,80.2020202020202,0.5,8,"primary"
"103","LM0366","P4aIYI","P4",45.3,48.1,94.1787941787942,1.29,5,"primary"
"104","LM0357","P4aJDE","P4",42.8,42.8,100,NA,0,"primary"
"105","LM0352","P4aJGW","P4",37.6,40.6,92.6108374384237,1.56,4,"primary"
"106","LM0354","P4aJKC","P4",42.67,45,94.8222222222222,1.43,3,"primary"
"107","LM0350","P4aJKL","P4",44.79,54.5,82.1834862385321,0,6,"primary"
"108","LM0348","P4aJKY","P4",NA,44.4,NA,NA,9,"primary"
"109","LM0361","P4aJLK","P4",42.09,46.1,91.3015184381779,0.92,3,"primary"
"110","LM0361","P4aJQX","P4",40.79,46.1,88.4815618221258,1.48,4,"primary"
"111","LM0365","P4aJRE","P4",57.82,59.2,97.6689189189189,3.13,10,"primary"
"112","LM0352","P4aJTL","P4",36.72,40.6,90.4433497536946,0.76,5,"primary"
"113","LM0367","P4aKBE","P4",46.55,49.6,93.8508064516129,1.7,9,"primary"
"114","LM0361","P4aKBV","P4",42.3,46.1,91.7570498915401,0.54,2,"primary"
"115","LM0362","P4aKCF","P4",41.52,51.1,81.252446183953,0.52,7,"primary"
"116","LM0367","P4aKFE","P4",45.94,49.6,92.6209677419355,1.59,11,"primary"
"117","LM0366","P4aKHJ","P4",46.28,48.1,96.2162162162162,1.05,1,"primary"
"118","LM0365","P4aKPL","P4",57.91,59.2,97.8209459459459,1.64,11,"primary"
"119","LM0352","P4aKUB","P4",40.76,40.6,100.394088669951,2.09,11,"primary"
"120","LM0351","P4aKXK","P4",NA,43.6,NA,NA,8,"primary"
"121","LM0355","P4aLBB","P4",39.9,43.9,90.8883826879271,1,5,"primary"
"122","LM0365","P4aLDK","P4",58.04,59.2,98.0405405405405,1.92,5,"primary"
"123","LM0357","P4aLGU","P4",37.33,42.8,87.2196261682243,1.02,7,"primary"
"124","LM0353","P4aLLW","P4",42.9,45.1,95.1219512195122,1.63,2,"primary"
"125","LM0351","P4aLNT","P4",43.3,43.6,99.3119266055046,1.56,2,"primary"
"126","LM0359","P4aLSH","P4",46.7,46.7,100,NA,0,"primary"
"127","LM0348","P4aLSL","P4",NA,44.4,NA,NA,11,"primary"
"128","LM0355","P4aLWB","P4",43.85,43.9,99.8861047835991,2.36,8,"primary"
"129","LM0350","P4aMDE","P4",46,54.5,84.4036697247707,0.07,5,"primary"
"130","LM0358","P4aMDM","P4",43.9,49.5,88.6868686868687,1.07,5,"primary"
"131","LM0359","P4aMFY","P4",44.65,46.7,95.610278372591,0.98,1,"primary"
"132","LM0353","P4aMGT","P4",35.3,45.1,78.270509977827,0.32,6,"primary"
"133","LM0351","P4aMHC","P4",NA,43.6,NA,NA,11,"primary"
"134","LM0356","P4aMMF","P4",35.87,40.7,88.1326781326781,1.41,10,"primary"
"135","LM0362","P4aMOX","P4",51.1,51.1,100,NA,0,"primary"
"136","LM0349","P4aMRP","P4",37.04,50.5,73.3465346534653,0.25,7,"primary"
