,EH_ID,CASP1,CXCL9,CXCR3,GAPDH,IDO1,IFNG,IL10,IL12A,IL13,IL1RN,IRGM1,MPO,MUC2,MUC5AC,MYD88,NCR1,PPIB,PRF1,RETNLB,SOCS1,TICAM1,TNF,IL6,IL17A
312,AA0812,NA,15.1239077653844,18.7043546622985,3.00442962034667,16.6193844826483,19.7213582902535,NA,18.8486509360606,6.98582175379582,15.9339154520865,7.62028676011122,19.283185869,5.76216488960674,6.42355078994636,13.8750718770035,21.0032702266892,12.1508990153124,22.327769766034,NA,8.25495723496453,15.2853994069848,17.3793101614796,19.2230640501345,25.0994517802355
313,AA0813,NA,15.5962283943009,20.6358018469034,3.68629745049735,15.1467496840716,19.3428434189677,NA,22.1675354969034,8.0059460418021,15.0542455748578,8.81902121994996,15.9148128120726,6.92339234094703,7.12293775055937,19.5835058948565,23.5967924512979,12.1508990153124,22.5081463550651,NA,9.49199368718956,19.6601080741829,19.7622959826086,21.1508034562994,28.409879048882
314,AA0817,NA,13.7779550662004,20.149574495173,3.79278636001943,12.3686266974175,18.0566674828655,NA,22.0626967650412,11.8807435396348,15.9290970071164,8.71094078457882,16.5710739156216,7.24586257440595,7.49264089801379,16.8025856066098,23.3872480136032,12.1508990153124,23.3391837712592,NA,9.51310583851917,17.8721975061042,18.6748657030355,18.1907362270304,29.7212701096709
315,AA0819,NA,20.5129182830247,22.7961413320399,4.03999790153286,17.2608545154481,27.7576603580038,NA,20.490694236025,8.81386261118816,12.8875052243101,9.62419950508569,16.0980455234429,7.70317517262383,7.92523008006209,21.5717388481128,22.8141360194332,12.1508990153124,21.4080086329727,NA,10.2373673594692,22.3050436009917,20.9645989186363,22.0663298189713,28.6224324470257
316,AA0820,19.2479323629754,17.4749969719315,NA,3.84129923923959,9.20107827556039,18.978451057426,22.3065639153012,17.4897743212526,18.8088522063824,9.22305917020966,8.59214705225131,13.4812964312668,6.85598841797773,7.14714457291013,7.64789730624431,NA,16.724063931994,25.2809842102893,7.4211080925407,9.71876546420319,21.1316342461687,20.1184660842915,28.8760424804619,21.9234653746505
317,AA0821,19.4082041028154,21.871513732352,NA,3.9004984482594,13.4894350453255,17.7852874791881,27.0016598367244,21.7241718091759,20.679365514563,12.2304872136964,8.9654264679024,14.1090614983752,7.35113421927951,7.55366568474612,8.29868617273521,NA,16.724063931994,24.1625650161094,7.86213729683366,10.3216730082312,22.9771211659426,20.1902202857455,21.7895296059237,22.2786944234855
318,AA0824,21.0204203589071,22.284800920296,NA,4.72062713876955,10.248659357627,16.264052651546,26.1350648650984,17.2750041111955,20.8073736587715,10.4108410336161,10.4914976407442,15.6600777763279,8.89253724298544,8.9267117620132,9.26961213567975,NA,16.724063931994,24.2281296931375,9.3416192096593,12.4974802728378,23.424606619748,20.6454030332916,22.548238971336,25.8189308668898
319,AA0826,19.2014798821993,19.8002608241733,NA,3.2803828096505,13.4678768119354,20.7755820170777,23.2758050662087,18.5192561891106,20.1517202767627,13.3927097928555,8.35130154125223,15.6936686147788,6.85739809540693,7.09322042570115,7.54495358253011,NA,16.724063931994,22.3209860531841,7.7349477908604,9.3329735204934,21.2314608395788,20.8675430162229,21.0908197485537,22.6254073866342
320,AA0827,19.9756573037847,22.1347204817915,NA,3.9811094721312,10.0512383330457,18.3284123323617,23.577614514126,16.7982752377889,19.6400694147975,10.1876520650121,10.1072927132768,14.4770373729316,7.92000792169934,7.8416303008372,8.8544931736004,NA,16.724063931994,22.3655742598118,8.51099225585682,10.7015100316003,20.337828692577,20.3240801496648,23.575329634584,22.773663224524
321,AA0828,NA,17.273296378636,20.5339375476479,4.114851357181,14.4138587233898,22.6795259661794,NA,20.4114187854774,8.52573257177861,13.4516174832508,9.34312141041675,15.8118905103365,7.57344752330246,7.63743294255101,19.5039300556494,22.3901748215342,19.0330465744103,22.0074836636886,NA,10.1360001363864,19.5607028751252,20.9546989647338,19.2093841651179,23.4877234385578
322,AA0829,NA,22.3535336026371,20.6693855645254,5.18689935799347,10.6600667372037,18.6982908546587,NA,17.3168692330367,13.9313109466773,10.4883205994077,10.6168508216075,15.9973745027482,8.72091444762223,8.77581868301355,26.2855832154617,23.4198341296753,19.6431374434552,22.4459491894904,NA,11.2243733306603,23.1546277761519,22.1039495979209,20.924727888412,21.7336556445851
323,AA0831,NA,21.3737048157524,20.1612147347355,3.96144513542851,12.8707687015644,24.6046175926699,NA,19.6992390176011,8.56258787330241,10.7027157727331,9.54154855752743,15.3176686952757,7.46525470498897,7.54907066600287,21.3635280348659,24.3528684077569,15.5483646951092,22.3318133804488,NA,9.94999937519904,23.5890062496391,22.0652805385954,25.1032213810663,25.1507296498023
324,AA0838,NA,22.1355801125083,21.353105664967,4.99058283010155,11.1555590589279,25.9952980898422,NA,18.1010092977933,9.46665655755746,10.3916951983272,10.4346539198837,16.1732897593089,8.83148718587811,8.71136378486244,21.2350736641264,23.1378628305545,15.5483646951092,24.9874402352376,NA,11.2857022439527,21.1997149563235,22.0898279959906,23.379280105867,24.7087038348287
325,AA0839,22.7561257812476,23.0446882777978,NA,4.85352063160003,17.871996551355,17.1661485741264,24.7957243721959,22.8638039122273,22.3595724022573,15.3701102548124,9.38215029732917,20.400275126494,8.65054638790559,9.04330349750022,9.91872457239515,NA,16.724063931994,28.8986318429548,11.3787243227825,11.3454608140918,23.5599998859834,23.7721418673768,22.4487597061785,26.1796941635142
326,AA0850,21.2368157068993,19.2848846930307,NA,4.94029517394616,10.8715791168039,18.4171133222279,24.7471210003208,17.3972843150553,19.5516294081656,10.3829682005866,10.5202662899428,15.7833026360775,8.87548002214479,8.8713789769503,9.50048585730439,NA,16.724063931994,25.4094531136685,9.14513185841259,11.4435501383535,21.755945217078,20.5992306827271,25.5258837451721,23.3243568934242
327,AA0853,21.0154384898171,18.4052880604367,NA,3.47877847106588,12.5117858546338,21.0540853187018,24.200940421678,19.0037638623057,20.2897596651245,9.75081005472508,8.51626994356374,13.6481651372022,6.91529782634182,7.03441202168952,8.56066605535769,NA,16.724063931994,23.3230298506815,7.32016402743885,9.55209697140839,21.6850211394615,11.0768827278989,19.8929317153213,22.5148123423695
